,ID,Mission Time,Packet Count,Altitud,Presión,Temperatura,Voltaje,Hora,Latitud 1,Longitud 1,GPS SATS,Pitch,Roll,Autogiro_vel,Estado Software,Latitud 2,Longitud 2,Altitud 2
0,ID,00:00,0,-2143.0,0.0,1.46,3.33,11:11,194854,-194854.0,2,0.43,0.26,0,ESPERA,194854,-194854.0,-2143.0
1,ID,00:00,0,-0.78,781.01,31.1,3.33,11:11,194854,-194854.0,2,-1.41,3.12,0,ESPERA,194854,-194854.0,-0.78
2,ID,00:00,0,-0.37,781.07,31.1,3.33,11:11,194854,-194854.0,2,2.07,18.57,0,ESPERA,194854,-194854.0,-0.37
3,ID,00:00,0,-2143.0,0.0,-17.02,3.33,11:11,194854,-194854.0,2,0.38,0.31,0,ESPERA,194854,-194854.0,-2143.0
4,ID,00:00,0,-2143.0,0.0,-33.06,3.33,11:11,194854,-194854.0,2,0.45,0.28,0,ESPERA,194854,-194854.0,-2143.0
5,ID,00:00,0,-2143.0,0.0,23.29,3.33,11:11,194854,-194854.0,2,0.54,0.47,0,ESPERA,194854,-194854.0,-2143.0
6,ID,00:00,0,-2143.0,0.0,-23.95,3.33,11:11,194854,-194854.0,2,0.41,0.25,0,ESPERA,194854,-194854.0,-2143.0
7,ID,00:00,0,-2143.0,0.0,-21.73,3.33,11:11,194854,-194854.0,2,0.43,0.2,0,ESPERA,194854,-194854.0,-2143.0
8,ID,00:00,0,-2143.0,0.0,19.3,3.33,11:11,194854,-194854.0,2,0.56,0.35,0,ESPERA,194854,-194854.0,-2143.0
9,ID,00:00,0,-2143.0,0.0,4.85,3.33,11:11,194854,-194854.0,2,0.29,0.31,0,ESPERA,194854,-194854.0,-2143.0
10,ID,00:00,0,-2143.0,0.0,11.73,3.33,11:11,194854,-194854.0,2,0.46,0.22,0,ESPERA,194854,-194854.0,-2143.0
11,ID,00:00,0,-2143.0,0.0,22.07,3.33,11:11,194854,-194854.0,2,0.39,0.18,0,ESPERA,194854,-194854.0,-2143.0
12,ID,00:00,0,-2143.0,0.0,20.72,3.33,11:11,194854,-194854.0,2,0.36,0.32,0,ESPERA,194854,-194854.0,-2143.0
13,ID,00:00,0,-2143.0,0.0,-13.64,3.33,11:11,194854,-194854.0,2,0.35,0.3,0,ESPERA,194854,-194854.0,-2143.0
14,ID,00:00,0,-2143.0,0.0,-44.91,3.33,11:11,194854,-194854.0,2,0.34,0.24,0,ESPERA,194854,-194854.0,-2143.0
