,ID,Tiempo de misión,Contador de paquetes,Altitud,Presión,Temperatura,Voltaje,Hora,Latitud,Longitud,Pitch,Roll,Aceleración,Estado Software
0,ORB_CS,0:00:00,1,0.0,77413.7,20,8.86,11:29:00,19.50261,-99.13317,10,6,0,BOOT\r
1,ORB_CS,0:00:00,2,0.0,77410.0,20,6.8,11:29:00,19.50259,-99.13314,0,10,0,BOOT\r
2,ORB_CS,0:00:00,3,0.0,77410.8,23,7.77,11:29:00,19.50263,-99.13327,10,10,0,BOOT\r
3,ORB_CS,0:00:00,4,0.0,77412.3,23,7.72,11:29:00,19.50249,-99.13321,10,10,0,BOOT\r
4,ORB_CS,0:00:00,5,0.0,77416.5,22,7.67,11:29:00,19.50247,-99.13332,7,8,0,BOOT\r
5,ORB_CS,0:00:00,6,0.0,77416.8,20,7.4,11:29:00,19.50261,-99.1332,5,2,0,BOOT\r
6,ORB_CS,0:00:00,7,0.0,77417.9,24,5.46,11:29:00,19.5025,-99.13328,1,3,0,BOOT\r
7,ORB_CS,0:00:00,8,0.0,77407.6,23,8.2,11:29:00,19.50258,-99.13333,7,8,0,BOOT\r
8,ORB_CS,0:00:00,9,0.0,77412.2,20,7.58,11:29:00,19.50254,-99.13322,10,4,0,BOOT\r
9,ORB_CS,0:00:00,10,0.0,77412.8,22,6.08,11:29:00,19.50264,-99.13325,5,8,0,BOOT\r
10,ORB_CS,0:00:00,11,0.0,77416.3,21,5.03,11:29:00,19.50258,-99.13326,4,5,0,BOOT\r
11,ORB_CS,0:00:00,12,0.0,77405.2,20,6.88,11:29:00,19.50249,-99.13331,7,6,0,BOOT\r
12,ORB_CS,0:00:00,13,0.0,77419.0,24,5.68,11:29:00,19.50246,-99.13324,1,6,0,BOOT\r
13,ORB_CS,0:00:00,14,0.0,77416.6,24,6.93,11:29:00,19.50248,-99.13331,3,7,0,BOOT\r
14,ORB_CS,0:00:00,15,0.0,77414.3,24,6.26,11:29:00,19.50263,-99.13327,5,0,0,BOOT\r
15,ORB_CS,0:00:00,16,0.0,77402.7,21,8.78,11:29:00,19.50247,-99.13325,6,7,0,BOOT\r
16,ORB_CS,0:00:00,17,0.0,77416.5,24,6.26,11:29:00,19.50256,-99.13314,6,1,0,BOOT\r
17,ORB_CS,0:00:00,18,0.0,77418.4,21,8.62,11:29:00,19.5026,-99.13314,6,8,0,BOOT\r
18,ORB_CS,0:00:00,19,0.0,77401.3,23,7.48,11:29:00,19.50263,-99.1333,5,4,0,BOOT\r
19,ORB_CS,0:00:00,20,0.0,77414.1,22,7.61,11:29:00,19.50252,-99.13322,5,2,0,BOOT\r
20,ORB_CS,0:00:00,21,0.0,77409.1,20,5.52,11:29:00,19.50259,-99.13317,4,0,0,BOOT\r
21,ORB_CS,0:00:00,22,0.0,77405.9,23,8.67,11:29:00,19.50253,-99.13322,4,4,0,BOOT\r
22,ORB_CS,0:00:00,23,0.0,77400.1,23,5.73,11:29:00,19.50256,-99.13323,2,8,0,BOOT\r
23,ORB_CS,0:00:00,24,0.0,77401.2,22,7.01,11:29:00,19.50249,-99.13332,8,4,0,BOOT\r
24,ORB_CS,0:00:00,25,0.0,77409.0,22,5.43,11:29:00,19.50246,-99.1333,0,0,0,BOOT\r
25,ORB_CS,0:00:00,26,0.0,77414.5,23,7.89,11:29:00,19.50263,-99.1333,5,4,0,BOOT\r
26,ORB_CS,0:00:00,27,0.0,77410.4,24,8.42,11:29:00,19.50263,-99.13323,2,6,0,BOOT\r
27,ORB_CS,0:00:00,28,0.0,77404.2,23,7.48,11:29:00,19.50263,-99.13332,2,0,0,BOOT\r
28,ORB_CS,0:00:00,29,0.0,77408.7,21,5.16,11:29:00,19.50247,-99.1332,0,0,0,BOOT\r
29,ORB_CS,0:00:00,30,0.0,77400.2,21,8.65,11:29:00,19.50248,-99.13325,10,8,0,BOOT\r
30,ORB_CS,0:00:00,31,0.0,77404.8,20,7.49,11:29:00,19.50259,-99.13323,6,8,0,BOOT\r
31,ORB_CS,0:00:00,32,0.0,77413.1,24,7.81,11:29:00,19.50254,-99.13319,9,5,0,BOOT\r
32,ORB_CS,0:00:00,33,0.0,77410.5,23,8.4,11:29:00,19.50262,-99.13317,4,10,0,BOOT\r
33,ORB_CS,0:00:00,34,0.0,77413.1,22,6.8,11:29:00,19.50263,-99.13327,4,0,0,BOOT\r
34,ORB_CS,0:00:00,35,0.0,77411.2,24,6.68,11:29:00,19.5026,-99.13322,7,5,0,BOOT\r
35,ORB_CS,0:00:00,36,0.0,77413.8,20,6.22,11:29:00,19.50246,-99.13314,9,9,0,BOOT\r
36,ORB_CS,0:00:00,37,0.0,77414.4,20,7.51,11:29:00,19.50259,-99.13329,5,5,0,BOOT\r
37,ORB_CS,0:00:00,38,0.0,77407.9,22,5.67,11:29:00,19.50262,-99.13326,9,5,0,BOOT\r
38,ORB_CS,0:00:00,39,0.0,77404.4,24,5.23,11:29:00,19.50255,-99.13332,8,5,0,BOOT\r
39,ORB_CS,0:00:00,40,0.0,77418.0,21,8.92,11:29:00,19.50251,-99.13315,7,8,0,BOOT\r
40,ORB_CS,0:00:00,41,0.0,77407.8,23,8.35,11:29:00,19.5025,-99.13319,9,8,0,BOOT\r
41,ORB_CS,0:00:00,42,0.0,77401.5,20,5.26,11:29:00,19.50257,-99.13328,3,9,0,BOOT\r
42,ORB_CS,0:00:00,43,0.0,77419.8,22,6.52,11:29:00,19.50254,-99.13325,4,5,0,BOOT\r
43,ORB_CS,0:00:00,44,0.0,77400.0,20,8.71,11:29:00,19.50254,-99.13323,10,3,0,BOOT\r
44,ORB_CS,0:00:00,45,0.0,77408.7,20,5.77,11:29:00,19.50258,-99.1332,4,10,0,BOOT\r
45,ORB_CS,0:00:00,46,0.0,77408.7,20,7.74,11:29:00,19.50253,-99.13315,10,9,0,BOOT\r
